nivel,grupo,indicador,resultado,cv
"dist","021004","electricidad",.9395444,.0664504
"dist","021004","cocina_lena",1,0
"dist","021007","piso_tierra",.75,0
"dist","021007","agua_red_publica",1,0
"dist","021007","desague_red_publica",.875,0
"dist","021007","electricidad",1,0
"dist","021007","cocina_lena",.875,0
"dist","021008","piso_tierra",.875,1.59e-17
"dist","021008","agua_red_publica",.75,0
"dist","021008","desague_red_publica",.75,0
"dist","021008","electricidad",.875,1.59e-17
"dist","021008","cocina_lena",.75,0
"dist","021012","piso_tierra",.875,1.59e-17
"dist","021012","agua_red_publica",.875,1.59e-17
"dist","021012","desague_red_publica",.125,1.11e-16
"dist","021012","electricidad",.875,1.59e-17
"dist","021012","cocina_lena",.75,0
"dist","021101","piso_tierra",.1869775,.2741432
"dist","021101","agua_red_publica",1,0
"dist","021101","desague_red_publica",.6658267,.3059927
"dist","021101","electricidad",1,0
"dist","021101","cocina_lena",.2087193,.5967667
"dist","021102","piso_tierra",.875,0
"dist","021102","agua_red_publica",1,0
"dist","021102","desague_red_publica",0,
"dist","021102","electricidad",.875,0
"dist","021102","cocina_lena",1,0
"dist","021103","piso_tierra",0,
"dist","021103","agua_red_publica",.75,0
"dist","021103","desague_red_publica",.875,0
"dist","021103","electricidad",1,0
"dist","021103","cocina_lena",.875,0
"dist","021201","piso_tierra",.312886,.4239035
"dist","021201","agua_red_publica",1,0
"dist","021201","desague_red_publica",.8201272,.1701063
"dist","021201","electricidad",1,0
"dist","021201","cocina_lena",.571303,.2674448
"dist","021203","piso_tierra",1,0
"dist","021203","agua_red_publica",1,0
"dist","021203","desague_red_publica",.125,0
